# Actions & Cost Ledger

## Actions by trading day
Action summary by trading day:
  2025-12-02: BUY=6
  2025-12-03: HOLD=1
  2025-12-04: HOLD=1
  2025-12-05: BUY=1
  2025-12-08: HOLD=1
  2025-12-09: HOLD=1
  2025-12-10: HOLD=1
  2025-12-11: HOLD=1
  2025-12-12: HOLD=1
  2025-12-15: HOLD=1
  2025-12-16: HOLD=1
  2025-12-17: HOLD=1
  2025-12-18: HOLD=1
  2025-12-19: HOLD=1
  2025-12-22: HOLD=1
  2025-12-23: HOLD=1
  2025-12-24: HOLD=1
  2025-12-26: HOLD=1
  2025-12-29: HOLD=1
  2025-12-30: HOLD=1
  2025-12-31: HOLD=1
  2026-01-02: HOLD=1
  2026-01-05: SELL=2
  2026-01-06: HOLD=1
  2026-01-07: HOLD=1
  2026-01-08: HOLD=1
  2026-01-09: HOLD=1
  2026-01-12: HOLD=1
  2026-01-13: HOLD=1
  2026-01-14: HOLD=1
  2026-01-15: HOLD=1
  2026-01-16: SELL=1, BUY=1
  2026-01-20: HOLD=1
  2026-01-21: HOLD=1
  2026-01-22: HOLD=1
  2026-01-23: HOLD=1
  2026-01-26: HOLD=1
  2026-01-27: HOLD=1
  2026-01-28: HOLD=1
  2026-01-29: SELL=2, BUY=1
  2026-01-30: HOLD=1

## Cost totals
  trading_days: 41
  commission_total: 16.10
  token_total: 6.72
  infra_total: 8.20
  monthly_total (static): 200.00
  uncertain_cost: 9.00

## Cost split
  static_cost (data subscription): 200.00
  dynamic_cost (commission + token + infra + uncertain): 40.01
  total_cost: 240.01
